num_regions 48
num_pairs 1128
resolution 0.200
inflate_radius 0.200
min_search_world_z 1.000
max_search_world_z 1.200
min_search_world_x -4.000
max_search_world_x 12.500
world_x_rule allow_inside_any_region_xy
map_shrink_x 0.000
map_shrink_y 0.000
resample_spacing 0.250
begin_paths
path 0 36_Flightsite_11 1 34_Flightsite_9 reachable
num_points 44
2.2273 -0.1048 1.1930
2.2457 0.1446 1.1930
2.2641 0.3939 1.1930
2.2824 0.6432 1.1930
2.3008 0.8925 1.1930
2.3192 1.1419 1.1930
2.3375 1.3912 1.1930
2.3559 1.6405 1.1930
2.3743 1.8898 1.1930
2.3927 2.1392 1.1930
2.4110 2.3885 1.1930
2.4294 2.6378 1.1930
2.4478 2.8871 1.1930
2.4661 3.1365 1.1930
2.4845 3.3858 1.1930
2.5029 3.6351 1.1930
2.5213 3.8844 1.1930
2.5396 4.1338 1.1930
2.5580 4.3831 1.1930
2.5764 4.6324 1.1930
2.5947 4.8817 1.1930
2.6131 5.1310 1.1930
2.6315 5.3804 1.1930
2.6499 5.6297 1.1930
2.6682 5.8790 1.1930
2.6866 6.1283 1.1930
2.7050 6.3777 1.1930
2.7233 6.6270 1.1930
2.7417 6.8763 1.1930
2.7601 7.1256 1.1930
2.7785 7.3750 1.1930
2.7968 7.6243 1.1930
2.8152 7.8736 1.1930
2.8336 8.1229 1.1930
2.8519 8.3723 1.1930
2.8703 8.6216 1.1930
2.8887 8.8709 1.1930
2.9070 9.1202 1.1930
2.9254 9.3696 1.1930
2.9438 9.6189 1.1930
2.9622 9.8682 1.1930
2.9760 10.1177 1.1930
2.9760 10.3677 1.1930
2.9760 10.6177 1.1930
2.9760 10.8677 1.1930
2.9760 11.1177 1.1930
2.9760 11.3677 1.1930
2.9760 11.6177 1.1930
2.9760 11.8677 1.1930
2.9760 12.1177 1.1930
2.9760 12.3677 1.1930
2.9760 12.6177 1.1930
2.9760 12.8677 1.1930
2.9760 13.1177 1.1930
2.9760 13.3677 1.1930
2.9760 13.6177 1.1930
2.9760 13.8677 1.1930
2.9760 14.1177 1.1930
2.9760 14.3677 1.1930
2.9760 14.6177 1.1930
2.9760 14.8677 1.1930
2.9760 15.1177 1.1930
2.9760 15.3677 1.1930
2.9760 15.6177 1.1930
2.9760 15.8677 1.1930
2.9760 16.1177 1.1930
2.9760 16.3677 1.1930
2.9760 16.6177 1.1930
